x_shift,intercept,x,x^2,x^3,x^4,x^5,degree,laser energy,gate delay
600.0,0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,0,5,100
600.0,1278.238509595411,-1.3581564542600622,-0.008566232477965303,1.0910784527138597e-05,0,0,3,5,100
600.0,0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,0,5,100
600.0,1341.5380933111978,-2.2520744506966532,-0.00916812194564611,1.7089002343729098e-05,0,0,3,5,100
600.0,1129.2532560575385,-1.2385916385494224,-0.00760590183837305,1.1292547117157068e-05,0,0,3,5,100
600.0,1337.7682626466276,-1.1477563596934335,-0.009381957119640934,9.895429870601686e-06,0,0,3,5,100
600.0,1230.619915828574,-1.0703296206923718,-0.007837457196619192,7.768119319774663e-06,0,0,3,5,100
600.0,1381.8753774000959,-1.5342354307146815,-0.009590014022633672,1.3351790621819091e-05,0,0,3,5,100
600.0,1219.6777944125088,-0.8195044447323818,-0.008411088885482077,8.939499906587494e-06,0,0,3,5,100
600.0,1259.4963187330377,-0.5842064182836392,-0.008728499749758556,7.2460791063784105e-06,0,0,3,5,100
600.0,1327.2081817029634,-1.1327684912008071,-0.008614740101946577,9.23040985878691e-06,0,0,3,5,100
600.0,0,0,0,0,0,0,0,5,100
600.0,1352.7091834104872,-1.154967901791384,-0.00906027355294843,1.0014881040600442e-05,0,0,3,5,100
600.0,0,0,0,0,0,0,0,5,100
600.0,1382.2756618102949,-0.9478706832762441,-0.008878843833703489,8.439446408410066e-06,0,0,3,5,100
600.0,1243.6387816839674,-1.3468161924955964,-0.008325983884407655,1.1100802615891428e-05,0,0,3,5,100
600.0,1603.6690852790573,-0.4649796063961239,-0.018315285829914464,6.209049067212247e-06,5.075200701361748e-08,0,4,5,100
600.0,0,0,0,0,0,0,0,5,100
600.0,1611.6225199107698,-0.6345849964405231,-0.019563973741077774,6.351235414662677e-06,6.330433878060955e-08,0,4,5,100
600.0,1425.2830353613354,-0.4964097656282277,-0.01911126326300066,4.213479948730305e-06,6.780927147222345e-08,0,4,5,100
600.0,1448.3670397691478,-1.4017413224227955,-0.010146640481665564,1.2123997629010132e-05,0,0,3,5,100
600.0,1349.4501405869705,-1.4223718764843203,-0.008631627400210836,1.0880991450602255e-05,0,0,3,5,100
600.0,1601.4194304015157,0.09074486587704819,-0.020482707050896685,7.799644989322112e-07,6.265655799798873e-08,0,4,5,100
600.0,0,0,0,0,0,0,0,5,100
600.0,1508.0678879343025,-2.106650410261608,-0.010575704866359455,1.7631347196692913e-05,0,0,3,5,100
600.0,1473.500035131994,-1.0859494938544039,-0.010136868370326605,9.67770596796854e-06,0,0,3,5,100
600.0,1486.415286626846,-1.405805199996959,-0.00980959362029899,1.1576034289531618e-05,0,0,3,5,100
600.0,1595.8662916802396,-0.6813016467428943,-0.019677572715331333,5.041610427971816e-06,6.337385024371182e-08,0,4,5,100
600.0,1437.5295950787277,-0.8825714172089643,-0.009417840810650557,8.808409715203013e-06,0,0,3,5,100
600.0,0,0,0,0,0,0,0,5,100
600.0,1448.5127627321046,-1.6573336587282907,-0.00997343577429041,1.5550218375378637e-05,0,0,3,5,100
600.0,0,0,0,0,0,0,0,5,100
600.0,1404.2089670336627,-0.6651081134671294,-0.00983180207337716,7.5041462369998905e-06,0,0,3,5,100
600.0,1421.2790720106973,-1.3000784796332512,-0.009447179516897003,9.828728579719108e-06,0,0,3,5,100
600.0,1449.1058560074985,-1.895688693063434,-0.009715794570558047,1.529182604378521e-05,0,0,3,5,100
600.0,1423.44100007566,-1.4683341133002852,-0.009766121631839878,1.2948493906202235e-05,0,0,3,5,100
600.0,0,0,0,0,0,0,0,5,100
600.0,1470.4683481752797,-1.2381806039551149,-0.010638570278349286,1.278306719969113e-05,0,0,3,5,100
600.0,1631.4178098391167,-0.9303496668835683,-0.021459857568355917,8.837878248556643e-06,7.126511495402565e-08,0,4,5,100
600.0,0,0,0,0,0,0,0,5,100
600.0,1418.0035638746795,-1.4139062912185194,-0.009365981258737105,1.05530482385376e-05,0,0,3,5,100
600.0,0,0,0,0,0,0,0,5,100
600.0,1547.1772678868133,-0.9176186435014207,-0.01799744520781297,1.0001837220841392e-05,5.5550186179938694e-08,0,4,5,100
600.0,1316.7988476112055,-1.0284127682415087,-0.009157637447026086,8.802166029192876e-06,0,0,3,5,100
600.0,0,0,0,0,0,0,0,5,100
600.0,1491.345487095672,-1.0096253141881895,-0.010183738454044992,9.262396563597675e-06,0,0,3,5,100
600.0,1587.9077159697301,-1.2789232329974323,-0.018927491800998345,1.1524429214295594e-05,5.550845582547214e-08,0,4,5,100
600.0,1320.258486654348,-1.0103514428658729,-0.008950162839093048,1.1146221691902711e-05,0,0,3,5,100
600.0,1257.6464992799695,-1.3335069724374875,-0.008079594594257555,1.2171729037037973e-05,0,0,3,5,100
600.0,0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,0,5,100
600.0,1321.530260340473,-1.1919163445948338,-0.009347479139201711,1.0997628003708354e-05,0,0,3,5,100
600.0,0,0,0,0,0,0,0,5,100
600.0,1478.5890217472959,-0.9782995335779457,-0.009983102844138784,1.0321717158239601e-05,0,0,3,5,100
600.0,0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,0,5,100
600.0,1356.0218451521666,-1.649999909647252,-0.008869957216595392,1.188518594230071e-05,0,0,3,5,100
600.0,1359.9852240828054,-0.8555883925726109,-0.009200056866469804,8.795776806191535e-06,0,0,3,5,100
600.0,1380.0700761668368,-0.9461374138748095,-0.009401618246308996,9.544333654083056e-06,0,0,3,5,100
600.0,0,0,0,0,0,0,0,5,100
600.0,1370.7424410482197,-1.176618109414224,-0.00906217345935279,1.0164027405259194e-05,0,0,3,5,100
600.0,1373.9288068123224,-1.4234687934395636,-0.009533413733771267,1.1699411517615287e-05,0,0,3,5,100
600.0,1404.2582348241758,-1.3767230402679007,-0.009433309230097234,1.2257191566496012e-05,0,0,3,5,100
600.0,1482.1064266509095,-1.4208089550563792,-0.009213110743519996,1.010858834043185e-05,0,0,3,5,100
600.0,1457.79473304132,-0.5275720839106844,-0.01890135235119606,5.970044172691208e-06,6.386748293473858e-08,0,4,5,100
600.0,1338.1675986355265,-1.4428627022359553,-0.009191460404174333,1.264451757748199e-05,0,0,3,5,100
600.0,0,0,0,0,0,0,0,5,100
600.0,1345.0119407382685,-0.9543141012041643,-0.00943211469067854,9.124197050364886e-06,0,0,3,5,100
600.0,1290.5635409366635,-1.1117242014087296,-0.008884220215400265,1.0868891814744589e-05,0,0,3,5,100
600.0,1445.8580457797252,-0.8711802536441148,-0.009424192847333271,7.31554341501608e-06,0,0,3,5,100
600.0,0,0,0,0,0,0,0,5,100
600.0,1209.0401156223236,-1.0910005890979007,-0.008392182136401308,9.437141885687445e-06,0,0,3,5,100
600.0,0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,0,5,100
600.0,1366.9965207027099,-1.131234877577662,-0.00892548080926274,1.0856012733429673e-05,0,0,3,5,100
600.0,1399.935635763839,-0.8912358125250692,-0.009403314518139796,8.856104880933966e-06,0,0,3,5,100
600.0,1394.5718795805603,-1.2895677236515253,-0.009511891834122316,1.1814155539241714e-05,0,0,3,5,100
600.0,1394.4884414707258,-0.9628956414446209,-0.009344492977392113,9.425649837506338e-06,0,0,3,5,100
600.0,1447.2338512296722,-1.6465377362390008,-0.009861772018722554,1.4118565878134167e-05,0,0,3,5,100
600.0,0,0,0,0,0,0,0,5,100
600.0,1587.6938395140294,-0.7036030830831186,-0.019048251321841313,8.35555047663268e-06,5.449798265512556e-08,0,4,5,100
600.0,1546.5924213493513,-1.5986114583464117,-0.010976361733289546,1.2530983271983807e-05,0,0,3,5,100
600.0,1301.7497646162026,-0.7521202932609221,-0.009419520556229515,8.518289065812935e-06,0,0,3,5,100
600.0,1258.7476640366388,-1.0050830946311589,-0.008178605178217961,9.139716083809706e-06,0,0,3,5,100
600.0,0,0,0,0,0,0,0,5,100
600.0,1380.2177929168906,-1.266665718547558,-0.009184880592513945,1.0964002209620616e-05,0,0,3,5,100
600.0,0,0,0,0,0,0,0,5,100
600.0,1327.9592916527847,-0.7856048042447112,-0.008742863752538854,8.339156603937296e-06,0,0,3,5,100
600.0,1516.5077474647976,-1.0843351768522107,-0.018255061134334408,1.1886503745884034e-05,5.6210253006808216e-08,0,4,5,100
600.0,1412.7836956569577,-1.0802422572384633,-0.009788675977601507,1.1092378177346384e-05,0,0,3,5,100
600.0,1471.0358876969733,-1.2142631973165943,-0.00958252722582831,1.0232832453608094e-05,0,0,3,5,100
600.0,0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,0,5,100
600.0,1413.3864983063168,-1.2609048072152533,-0.009941532253050457,1.0414621750236124e-05,0,0,3,5,100
600.0,0,0,0,0,0,0,0,5,100
600.0,1219.4268091969043,-0.8206867797231461,-0.00845072226969493,8.711322381222817e-06,0,0,3,5,100
600.0,1240.9661108483408,-1.2101480937770852,-0.008348545368211646,9.787415972044105e-06,0,0,3,5,100
600.0,0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,0,5,1500
600.0,213.35644196555805,-0.40196174632630144,-0.0021711210818554025,4.7337142966037925e-06,0,0,3,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,225.3788142179014,-0.6589749820462059,-0.0026380027016094276,7.449921715660267e-06,0,0,3,5,1500
600.0,278.61108895048005,-0.5998088720344441,-0.002343593522220568,6.787677465361695e-06,0,0,3,5,1500
600.0,333.86029336539116,-0.32078921251271403,-0.0033749505453325537,5.989112931032989e-06,0,0,3,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,266.82095876885984,-1.480719613915873,-0.005785752647046494,4.4055126731808686e-05,2.385213919882126e-08,-2.1828088408401613e-10,5,5,1500
600.0,346.4804996032183,-0.6341820410586866,-0.0030582443615828595,6.328749016587894e-06,0,0,3,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,243.17488968851382,-0.4562919757256476,-0.0021592140893733217,5.772182427889688e-06,0,0,3,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,289.31452956165623,-0.2537820952547115,-0.006348870252274847,4.043756510501752e-06,3.162747653889576e-08,0,4,5,1500
600.0,508.1004131014923,-1.5969521308136696,-0.010497100797098,3.919108210108535e-05,4.79993470306706e-08,-1.9875297610429827e-10,5,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,197.54830646784694,-2.065963586599542,-0.003761441417010286,4.713460096199169e-05,8.762381393558104e-09,-2.001381708367304e-10,5,5,1500
600.0,289.8368477806113,-0.9831427219704791,-0.0024555130002758795,7.66010337169185e-06,0,0,3,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,299.28140068523436,-0.5069267924526578,-0.006126817540212116,3.7539774226475885e-06,2.441206349022893e-08,0,4,5,1500
600.0,193.03541211917624,-0.8040520932137896,-0.0020303018774719553,7.213896835175126e-06,0,0,3,5,1500
600.0,229.61394005462932,-1.2582518058430083,-0.004449741588396188,4.019750117988718e-05,1.8672915544938263e-08,-2.1494403692273387e-10,5,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,221.77031167027826,-0.7570801126375931,-0.0022231029621781803,6.864839375142528e-06,0,0,3,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,236.5837331770132,0.147352824741589,-0.00622827556499072,9.566510095118727e-07,2.981594758952452e-08,0,4,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,398.8182343446162,-1.14518952177028,-0.008552174641109201,3.1366158496223996e-05,3.762531508129644e-08,-1.4447195067493005e-10,5,5,1500
600.0,425.68708258514897,-0.17026888323529346,-0.00807026169845427,2.481755000097954e-06,3.465599096661026e-08,0,4,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,298.57783307849786,-1.7505979265907943,-0.006226139649595985,3.871128395722665e-05,2.5838619247275134e-08,-1.7439962803773495e-10,5,5,1500
600.0,225.83268351227605,-1.246277791320818,-0.004805226637613555,3.946831600546976e-05,1.673593894886799e-08,-1.9172190814240837e-10,5,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,236.345138346274,-0.41316798974257024,-0.0028454725530019584,4.857866857968536e-06,0,0,3,5,1500
600.0,240.50066234708757,-1.179371338364729,-0.006573135126734002,3.0516010395855736e-05,2.9792450079585043e-08,-1.3935926546662445e-10,5,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,263.97700660583934,-0.20586832773275238,-0.003321626611409839,5.659651550648998e-06,0,0,3,5,1500
600.0,257.34457042512145,0.08011944804598174,-0.00543114448247976,4.9783766208836095e-08,2.7300297376652118e-08,0,4,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,243.87694430036277,-1.6725641542785143,-0.002151085940195978,3.839931028438325e-05,3.1611618241953212e-09,-1.7969709908927688e-10,5,5,1500
600.0,272.1830416356827,0.195517377232257,-0.0066357763546527225,-1.2731079158339011e-06,3.050486372781814e-08,0,4,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,421.92820605852427,-0.8867480621465024,-0.00844158619508541,3.337261635652009e-05,3.4488221810748304e-08,-1.7629174827374743e-10,5,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,218.58903750000442,0.9761978762559977,-0.0018714335976135281,-6.439895272621157e-06,0,0,3,5,1500
600.0,298.2651301786924,-1.822139698056195,-0.006850323240593334,4.489081862446612e-05,2.9210033599323835e-08,-2.067219198507041e-10,5,5,1500
600.0,280.5492793202603,0.40254508084980445,-0.007269647661371538,-2.6542489670399768e-06,3.376857159142187e-08,0,4,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,303.61681575539643,-1.0608584342329455,-0.0028020409972666508,1.0296203221449723e-05,0,0,3,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,349.3597288583543,-0.206057616894804,-0.007680749468641091,2.4228420101114425e-06,3.337385505746718e-08,0,4,5,1500
600.0,279.8290738499449,-1.2977539652540202,-0.00624999672666513,3.695550884459882e-05,2.3432429993382117e-08,-1.812870108217937e-10,5,5,1500
600.0,241.98881680651652,-0.2587091126174092,-0.006222593938341479,2.7838462088947834e-06,2.9386560128941598e-08,0,4,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,-109.42822485574462,0.9436552646678648,0.00031901877133432076,-6.669953783716036e-06,0,0,3,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,93.47762088674087,0.5701065676141812,-0.003512919421540001,-2.205797696925302e-06,2.0171133293933352e-08,0,4,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,-77.49969285711143,0.647881406426296,0.0006470278262430331,-5.3837929730122e-06,0,0,3,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,27.335536723841432,-1.0404588803549975,-0.0010599756287274597,3.3409079011836365e-05,2.9360270284806715e-09,-1.7686422724320303e-10,5,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,35.12466201026695,0.6909391100274901,-0.00397608646118901,-4.263283450575386e-06,2.660791099963858e-08,0,4,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,-128.7675436725684,-0.031266588949274574,0.005305120815458674,6.865442733790461e-07,-3.164118813172199e-08,0,4,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,22.59399765768454,0.49186248142073585,-0.003269537381281919,-4.514801868282797e-06,2.2138387119483414e-08,0,4,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0.4835966496328975,-1.0320776844098953,-0.0020981269591605956,2.8032261220945803e-05,1.5745175160244617e-08,-1.4890769104291097e-10,5,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,-67.28289925608874,-0.8682186518671006,0.0019255982862186314,2.514473237045308e-05,-9.320126576532394e-09,-1.3893728608511297e-10,5,5,20000
600.0,0,0,0,0,0,0,0,5,20000
600.0,0,0,0,0,0,0,0,5,20000
