x_shift,intercept,x,x^2,x^3,x^4,degree,laser energy,gate delay
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1588.6819718747204,-1.1018594996855926,-0.02593677290696754,7.913730242928955e-06,1.0105081257328326e-07,4,5,100
600.0,1665.9699194444036,0.001127989745659665,-0.025931625652548487,2.4621444519189944e-06,9.878199413281432e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1600.2477450816655,0.4816129995814459,-0.02383341177064561,-1.1115923596614874e-06,9.191324273163265e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1748.7195536372,-0.904043550976538,-0.02525691118011932,8.43554910285354e-06,9.093462145519796e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1481.564828600841,-0.42470343045612546,-0.021458495429679172,3.721364201897685e-06,8.039171768574716e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1740.353871320246,0.5800999096638924,-0.027821078144705812,-3.893907070206667e-06,1.0945615964940532e-07,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1630.8921516808487,-0.5872471354341955,-0.019797331981164932,4.9614789049286975e-06,6.13726312986731e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1670.032725369218,-0.4702092792735118,-0.02388978737675365,2.849341751967487e-06,8.740239172666285e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1923.8123811189366,1.1591096333936002,-0.03757635326626927,-6.709359085812731e-06,1.6289273286541974e-07,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1650.153160155663,0.33482171162439023,-0.02592904875569209,-1.0023629975059616e-06,1.0243305541789731e-07,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1629.3497958873459,-0.20892609538339746,-0.02233252151959114,2.0740129543575908e-06,7.791808732527168e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1612.9829950311555,-0.594899795488403,-0.024646811286836396,6.047751961024916e-06,8.902953835609554e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1696.2676136390626,-1.181150342474008,-0.023677985961956183,9.001671531849134e-06,8.124151884605783e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1571.4731273222335,-0.18025441495621666,-0.02579729772822189,4.1507125281186545e-06,1.0377745736281716e-07,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1839.6134740565592,1.2571897347348977,-0.03315837940454826,-4.656096922186467e-06,1.4052112832763793e-07,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1636.165212729245,-0.2124582083833515,-0.022572328817403932,2.1500567626080536e-06,7.942726678672353e-08,4,5,100
600.0,1654.5754449611698,-1.1252094197208728,-0.023189166058553163,1.0623546123946114e-05,7.778914809962124e-08,4,5,100
600.0,1533.646972389659,-0.6456000938262515,-0.018541709780242326,5.089978351266339e-06,5.6124713745124546e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1593.813569185421,-0.47682856018524106,-0.02508118247629014,5.834669199871705e-06,9.806475233570827e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1653.5466253348718,-0.36336610705867267,-0.02442883335879917,6.508665611451809e-06,8.75881947102091e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1735.474601316403,0.25507718607033253,-0.027487554244479042,3.1989263072759103e-07,1.0591773092086517e-07,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1621.5595339030485,0.6086612561899447,-0.02053271728864223,-2.4872157495667217e-06,7.083959504596893e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1799.8071475478114,0.32743099368611794,-0.035339087232587274,3.9327301699623913e-07,1.5238600506297583e-07,4,5,100
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,395.4147748654325,-0.027421937028353938,-0.013479621648311096,3.6295028289055915e-06,6.165002370898559e-08,4,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,574.7329429111707,1.7174566321158709,-0.02561172647239418,-9.602288510524122e-06,1.307655922650953e-07,4,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,344.3787915951712,-0.45465660804395625,-0.009422746101611092,5.3750967887228e-06,4.846073016741656e-08,4,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
