x_shift,intercept,x,x^2,x^3,degree,laser energy,gate delay
600.0,1000.828263266501,-1.3317145497638714,-0.006694829004049395,1.1045824700182555e-05,3,5,100
600.0,1228.1800722653165,-1.4116009852519384,-0.00751123876871858,1.1276870215139618e-05,3,5,100
600.0,1299.6513857963773,-1.3899094723189886,-0.008968338847057054,1.2836071805347521e-05,3,5,100
600.0,1358.2336412421093,-1.0042590397938813,-0.00888615418895152,8.869410564837765e-06,3,5,100
600.0,1347.570928120262,-1.2857862858856783,-0.008882539634698981,1.0653961875180286e-05,3,5,100
600.0,1306.337473956475,-1.5675741784060437,-0.008609726674911234,1.2668707586887132e-05,3,5,100
600.0,1135.5404619935593,-1.4977954713792179,-0.007544191086203983,1.4104048760462137e-05,3,5,100
600.0,1272.6288349006416,-1.6717000211650748,-0.00825813481412488,1.4470722700361985e-05,3,5,100
600.0,1225.4164533125663,-1.0751146933329694,-0.008023822704026962,8.952876518044197e-06,3,5,100
600.0,1363.936856517921,-1.7281724993016159,-0.009451626215548913,1.5167639915057515e-05,3,5,100
600.0,1220.7807027645454,-1.1379011429559918,-0.008429542297505786,1.029223365215865e-05,3,5,100
600.0,1227.8282597071184,-0.7736763146778906,-0.008318359188572641,9.008787713548368e-06,3,5,100
600.0,1268.2104127317946,-0.9950987191948037,-0.008128268353262478,9.884931851197887e-06,3,5,100
600.0,1317.9784613982147,-0.7204868940440583,-0.008816195998825795,7.79918955230421e-06,3,5,100
600.0,1317.1034048195356,-0.8384434315721281,-0.008439331008173826,8.84968100648879e-06,3,5,100
600.0,1328.140546465542,-0.8068697692616738,-0.008220228121755681,8.069193933931045e-06,3,5,100
600.0,0.0,0.0,0.0,0.0,0,5,100
600.0,1139.4413419874882,-0.6204871604033292,-0.007342818666449586,6.685801291131615e-06,3,5,100
600.0,1462.4612128754588,-0.9937448791553862,-0.010216304178784805,1.0877600333634881e-05,3,5,100
600.0,0.0,0.0,0.0,0.0,0,5,100
600.0,1482.2282690376558,-0.9202363521481771,-0.009637367486069762,9.393494172249518e-06,3,5,100
600.0,0.0,0.0,0.0,0.0,0,5,100
600.0,1420.1847120051352,-1.1611329157468604,-0.009272787254226787,1.0938584234747873e-05,3,5,100
600.0,1345.8553250636787,-1.2181407694596353,-0.008670357263244019,1.0351546531786185e-05,3,5,100
600.0,0.0,0.0,0.0,0.0,0,5,100
600.0,0.0,0.0,0.0,0.0,0,5,100
600.0,1518.770235602264,-1.2426253578858018,-0.010134625189874333,1.1687689371155485e-05,3,5,100
600.0,1493.0773782034641,-1.2447224073923708,-0.009682776532081492,1.0715958007044389e-05,3,5,100
600.0,1492.3869088226331,-0.7736450442094118,-0.009562187899769094,8.02885501892513e-06,3,5,100
600.0,1454.5293321167242,-0.6764941722923913,-0.009872464969184726,6.59368003833894e-06,3,5,100
600.0,1473.9126594538618,-0.9458316761657628,-0.00962247883346996,1.0502501058080942e-05,3,5,100
600.0,1372.075336865678,-0.8150549310552019,-0.009388804948832985,8.404052896695851e-06,3,5,100
600.0,1441.8898581182284,-0.7345469370813675,-0.0095113871918973,9.994635840683463e-06,3,5,100
600.0,0.0,0.0,0.0,0.0,0,5,100
600.0,1400.8042251830889,-1.209496977799984,-0.009714570723067275,1.1862226128013013e-05,3,5,100
600.0,1382.9461756188343,-0.8932645211433254,-0.009232781223702436,8.571346889932269e-06,3,5,100
600.0,1468.3948556171254,-1.5334760849850537,-0.009991674424281435,1.360862120063551e-05,3,5,100
600.0,1375.6416955578793,-1.1015032208444935,-0.009059834964249456,1.1475226872572244e-05,3,5,100
600.0,1456.5081821000235,-0.8321203250202363,-0.009085458505020171,7.229714810962554e-06,3,5,100
600.0,1489.11770650349,-1.5407765813942818,-0.010714120103205042,1.4547847036691638e-05,3,5,100
600.0,0.0,0.0,0.0,0.0,0,5,100
600.0,1450.6177772346982,-0.8911987861589585,-0.009290701230479027,7.0685946237164264e-06,3,5,100
600.0,0.0,0.0,0.0,0.0,0,5,100
600.0,0.0,0.0,0.0,0.0,0,5,100
600.0,1352.595703685092,-1.056541314899873,-0.008968885515184492,1.176782624021587e-05,3,5,100
600.0,1312.2185434201833,-1.1337322088337574,-0.008898335728810729,1.0248185526720666e-05,3,5,100
600.0,0.0,0.0,0.0,0.0,0,5,100
600.0,1435.5505945926514,-1.1176344000090273,-0.00964826114981364,1.0669549103086535e-05,3,5,100
600.0,1380.9456464731718,-1.078562884129775,-0.009327562194354974,1.0055222110792841e-05,3,5,100
600.0,1280.7835262489536,-0.7836555018879021,-0.008721644481312336,9.859614931245601e-06,3,5,100
600.0,1275.0627200392928,-1.5910737102270578,-0.008021308146540514,1.3078076579596274e-05,3,5,100
600.0,0.0,0.0,0.0,0.0,0,5,100
600.0,0.0,0.0,0.0,0.0,0,5,100
600.0,1230.6615903411903,-1.1122205404240955,-0.0083560042831008,1.076634518643944e-05,3,5,100
600.0,1307.843076650027,-0.6717677324510702,-0.009129308320348134,8.254265389883832e-06,3,5,100
600.0,1398.855320400101,-0.47203286020563706,-0.00937588420080634,6.772857050945644e-06,3,5,100
600.0,1378.6100827691084,-1.1525566409941697,-0.009183030036164648,1.0267468364573674e-05,3,5,100
600.0,0.0,0.0,0.0,0.0,0,5,100
600.0,1389.0020738877993,-1.9483741769562342,-0.009268924393382517,1.5508120217905995e-05,3,5,100
600.0,1406.9106550606803,-1.0390057425538939,-0.00957851960559393,9.816716522748653e-06,3,5,100
600.0,1385.5195412375242,-0.8817355079270579,-0.009299108776639132,9.254210600150325e-06,3,5,100
600.0,0.0,0.0,0.0,0.0,0,5,100
600.0,1445.3049315934056,-1.4467153984905592,-0.00949586536935459,1.3454228473899995e-05,3,5,100
600.0,1447.3221663948136,-0.7030956571074338,-0.009760265601820204,7.383798228231994e-06,3,5,100
600.0,1455.2827948484023,-1.1532740937007528,-0.009468275272780165,1.121969591824898e-05,3,5,100
600.0,1487.3627110067007,-1.2218682823329194,-0.009476763618370456,1.1265474661943639e-05,3,5,100
600.0,1236.0960483750434,-0.7500774604445726,-0.00822856549068553,7.524258940032144e-06,3,5,100
600.0,1300.9408333601443,-1.3343426483684464,-0.008603574131896295,1.2895035330937982e-05,3,5,100
600.0,0.0,0.0,0.0,0.0,0,5,100
600.0,1400.987504984982,-1.139292865492016,-0.009690129613137723,1.1373046491295186e-05,3,5,100
600.0,1258.3709279327372,-0.5140866795739398,-0.008437702818971991,6.6681093731560275e-06,3,5,100
600.0,0.0,0.0,0.0,0.0,0,5,100
600.0,1490.169537214486,-0.9784160816607954,-0.00944138226312313,1.0364027972483499e-05,3,5,100
600.0,1303.5412655743767,-0.8444205072480552,-0.008891255039106098,9.126751972371541e-06,3,5,100
600.0,0.0,0.0,0.0,0.0,0,5,100
600.0,0.0,0.0,0.0,0.0,0,5,100
600.0,1353.1878579932009,-0.5926938425417019,-0.0089309709331719,7.385330721059018e-06,3,5,100
600.0,0.0,0.0,0.0,0.0,0,5,100
600.0,1323.4712598381288,-0.7888190405307717,-0.009030441840516478,8.395077172911535e-06,3,5,100
600.0,1367.9407832016411,-0.9183731069683471,-0.009172701239834645,9.730497331661952e-06,3,5,100
600.0,1404.9726358249131,-1.6658046384478837,-0.009333167017177157,1.5244436491919103e-05,3,5,100
600.0,0.0,0.0,0.0,0.0,0,5,100
600.0,1415.8125403736224,-0.8407987311330293,-0.009861511105786354,9.449153024628141e-06,3,5,100
600.0,1346.214222528811,-0.9524026180120586,-0.009133217479210287,9.329606619136664e-06,3,5,100
600.0,1338.8185487677777,-1.2010839368237445,-0.009252515931084898,1.1468647599744634e-05,3,5,100
600.0,1324.7335993317054,-1.1685314810990435,-0.008901099518534055,1.1386453189491241e-05,3,5,100
600.0,0.0,0.0,0.0,0.0,0,5,100
600.0,1415.6136776269045,-1.1584355704287144,-0.009536788380497516,1.068704481259036e-05,3,5,100
600.0,1312.0692258534227,-0.7055845473818383,-0.008671086028568557,7.378396979746332e-06,3,5,100
600.0,1433.0787086836126,-1.4480796363902364,-0.009158553867458912,1.3123714664800174e-05,3,5,100
600.0,1379.1781097047356,-1.3525587090860296,-0.009244539612918311,1.4390707359355454e-05,3,5,100
600.0,1398.412711172872,-0.9481928296112353,-0.00944363542044714,1.0146621750894014e-05,3,5,100
600.0,1460.535409278844,-1.0678759463999934,-0.009702349501520874,1.0030578715366263e-05,3,5,100
600.0,0.0,0.0,0.0,0.0,0,5,100
600.0,0.0,0.0,0.0,0.0,0,5,100
600.0,1480.206319403699,-1.3743149308820082,-0.01008412238738864,1.2229133593323367e-05,3,5,100
600.0,1451.9593734687526,-0.7703656327806321,-0.009621144947980564,8.286549585148724e-06,3,5,100
600.0,1245.7797830016357,-1.1557367073489384,-0.008440506019269526,1.1205316422599374e-05,3,5,100
600.0,1260.4307053134141,-1.4897576584887346,-0.00860227431196945,1.2030589887263163e-05,3,5,100
600.0,1380.2640736192157,-0.6695942837768012,-0.00968312552331352,8.480029986839609e-06,3,5,100
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,253.77763407361036,-0.6584099581239767,-0.0023620651425632693,5.903347803195295e-06,3,5,1500
600.0,249.46402472398418,-0.6207440062507897,-0.002710854524405911,6.832824802310836e-06,3,5,1500
600.0,255.9349286330551,-0.4756731237760822,-0.002365666091273818,5.6749220167540515e-06,3,5,1500
600.0,356.8012490108463,-0.2846532526830193,-0.0035578785655873283,5.7528625387788695e-06,3,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,312.59877384989613,-0.7879294640439203,-0.0025767124849130517,6.671322307634778e-06,3,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,204.56700211960896,-0.6595355664007898,-0.001516613198808435,6.848699734843228e-06,3,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,211.0031529345391,-0.7191821032267272,-0.0023361999727585453,7.448390729299328e-06,3,5,1500
600.0,324.09055460833,-0.8099884558634811,-0.0027246211118413873,6.813605746246376e-06,3,5,1500
600.0,0,0,0,0,0,5,1500
600.0,117.95420471335791,-0.3203863452272044,-0.0013651064973056082,4.797063680085132e-06,3,5,1500
600.0,0,0,0,0,0,5,1500
600.0,262.4615392591072,-0.4625963483278997,-0.002361470147885731,4.056544609762967e-06,3,5,1500
600.0,209.1460624651026,-0.8689390978654492,-0.0021252691152946297,7.267268516967877e-06,3,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,219.26322884398482,-0.7361982165678277,-0.0021444404564738757,6.3105257307441455e-06,3,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,229.22195063105414,-0.39224874190667947,-0.003081054610155107,5.49158008284357e-06,3,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,286.3802995406244,-0.7624161602305087,-0.0028358208572698148,7.149428318807575e-06,3,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,236.47293267434077,-0.4016559564313207,-0.002886491099770178,6.161548446315656e-06,3,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,260.36974088139993,-0.5496946817161483,-0.0024310099043280504,5.78911920671356e-06,3,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,5,1500
