,ElemSymbol,AtNum,Charge,Wavelength,IntIlab,Aki,Ei,Ek,gi,gk,IntAtomtrace,Source
180,Te,52,1,185.73,1312.0,,,,,,,Ilab
181,Al,13,2,185.8,575.0,,,,,,,Ilab
182,Re,75,1,185.87,-100.0,,,,,,,Ilab
183,Se,34,1,185.88,552.0,,,,,,,Ilab
184,P,15,1,185.89,621.0,,,,,,,Ilab
185,P,15,1,185.94,599.0,,,,,,,Ilab
186,As,33,2,186.03,583.0,,,,,,,Ilab
187,Te,52,1,186.05,1102.0,,,,,,,Ilab
188,Al,13,2,186.23,599.0,,,,,,,Ilab
189,Ir,77,1,186.25,-100.0,,,,,,,Ilab
190,Sb,51,1,187.12,570.0,,,,,,,Ilab
191,Ru,44,2,187.56,195.0,,,,,,,Ilab
192,Au,79,1,187.98,461.0,,,,,,,Ilab
193,Sb,51,1,188.26,501.0,,,,,,,Ilab
194,Ru,44,2,188.8,220.0,,,,,,,Ilab
195,As,33,1,189.04,691.0,,,,,,,Ilab
196,Os,76,1,189.44,-100.0,,,,,,,Ilab
197,Re,75,1,189.84,-100.0,,,,,,,Ilab
198,Se,34,1,189.86,599.0,,,,,,,Ilab
199,Os,76,1,189.86,-100.0,,,,,,,Ilab
200,Sn,50,2,189.99,888.0,,,,,,,Ilab
201,S,16,1,190.03,990.0,,,,,,,Ilab
202,Si,14,1,190.13,691.0,,,,,,,Ilab
203,Bi,83,2,190.23,461.0,,,,,,,Ilab
204,Ru,44,2,190.32,248.0,,,,,,,Ilab
205,Ge,32,1,190.47,621.0,,,,,,,Ilab
206,Pb,82,1,190.48,230.0,,,,,,,Ilab
207,Re,75,1,190.57,-100.0,,,,,,,Ilab
208,Ti,22,2,190.62,0.0,,,,,,,Ilab
209,P,15,1,190.77,563.0,,,,,,,Ilab
210,Ti,22,2,190.82,472.0,,,,,,,Ilab
211,Tl,81,2,190.86,322.0,,,,,,,Ilab
212,Pt,78,2,191.17,391.0,,,,,,,Ilab
213,As,33,2,191.29,621.0,,,,,,,Ilab
214,Ir,77,1,191.32,-100.0,,,,,,,Ilab
215,Se,34,1,191.38,586.0,,,,,,,Ilab
216,S,16,5,191.41,110.0,,,,,,,Ilab
217,Ne,10,2,191.61,691.0,,,,,,,Ilab
218,Ru,44,2,191.68,248.0,,,,,,,Ilab
219,Ge,32,1,191.76,570.0,,,,,,,Ilab
220,Se,34,1,191.92,570.0,,,,,,,Ilab
221,Au,79,1,191.96,300.0,,,,,,,Ilab
222,Ir,77,1,192.16,-100.0,,,,,,,Ilab
223,Ba,56,2,192.47,230.0,,,,,,,Ilab
224,Os,76,1,192.5,-100.0,,,,,,,Ilab
225,Sb,51,1,192.71,461.0,,,,,,,Ilab
226,Ru,44,1,192.76,-100.0,,,,,,,Ilab
227,Ge,32,1,192.98,621.0,,,,,,,Ilab
228,Ne,10,2,193.0,640.0,,,,,,,Ilab
229,C,6,1,193.09,691.0,,,,,,,Ilab
230,Pd,46,1,193.23,-100.0,,,,,,,Ilab
231,Pt,78,1,193.42,-100.0,,,,,,,Ilab
232,In,49,2,193.62,990.0,,,,,,,Ilab
233,As,33,1,193.76,668.0,,,,,,,Ilab
234,Hg,80,2,194.23,1353.0,,,,,,,Ilab
235,Ge,32,1,194.47,530.0,,,,,,,Ilab
236,Ir,77,1,194.81,-100.0,,,,,,,Ilab
237,Sb,51,1,195.04,530.0,,,,,,,Ilab
238,W,74,2,195.11,289.0,,,,,,,Ilab
239,Au,79,1,195.19,322.0,,,,,,,Ilab
240,Bi,83,1,195.47,910.0,,,,,,,Ilab
241,Os,76,1,195.5,-100.0,,,,,,,Ilab
242,Ge,32,1,195.51,530.0,,,,,,,Ilab
243,Bi,83,1,196.0,885.0,,,,,,,Ilab
244,Se,34,1,196.09,621.0,,,,,,,Ilab
245,Ge,32,1,196.2,621.0,,,,,,,Ilab
246,Sr,38,2,196.44,-100.0,,,,,,,Ilab
247,Be,4,1,196.46,294.0,,,,,,,Ilab
248,In,49,2,196.67,1143.0,,,,,,,Ilab
249,Ge,32,1,197.09,530.0,,,,,,,Ilab
250,Pb,82,1,197.24,139.0,,,,,,,Ilab
251,As,33,1,197.26,637.0,,,,,,,Ilab
252,Re,75,1,197.31,-100.0,,,,,,,Ilab
253,In,49,1,197.74,-100.0,,,,,,,Ilab
254,Au,79,1,197.82,340.0,,,,,,,Ilab
255,Si,14,1,197.92,-100.0,,,,,,,Ilab
256,Pt,78,1,197.98,-100.0,,,,,,,Ilab
257,Si,14,1,198.06,-100.0,,,,,,,Ilab
258,Os,76,1,198.22,-100.0,,,,,,,Ilab
259,Si,14,1,198.32,-100.0,,,,,,,Ilab
260,Os,76,1,198.56,-100.0,,,,,,,Ilab
261,Si,14,1,198.64,-100.0,,,,,,,Ilab
262,Ir,77,1,198.8,-100.0,,,,,,,Ilab
263,Ge,32,1,198.83,570.0,,,,,,,Ilab
264,Si,14,1,198.9,-100.0,,,,,,,Ilab
265,As,33,1,199.04,514.0,,,,,,,Ilab
266,As,33,1,199.11,461.0,,,,,,,Ilab
267,Au,79,1,199.19,-100.0,,,,,,,Ilab
268,Co,27,3,199.36,794.0,,,,,,,Ilab
269,Te,52,1,199.48,1268.0,,,,,,,Ilab
270,Sr,38,2,199.5,-100.0,,,,,,,Ilab
271,Se,34,1,199.51,501.0,,,,,,,Ilab
272,As,33,1,199.54,461.0,,,,,,,Ilab
273,Be,4,1,199.8,300.0,,,,,,,Ilab
274,Ge,32,1,199.89,621.0,,,,,,,Ilab
275,Cu,29,1,199.95,230.0,,,,,,,Ilab
276,Au,79,2,200.08,322.0,,,,,,,Ilab
277,Te,52,1,200.2,1318.0,,,,,,,Ilab
278,As,33,1,200.33,544.0,,,,,,,Ilab
279,As,33,1,200.92,461.0,,,,,,,Ilab
280,Au,79,1,201.2,931.0,,,,,,,Ilab
281,As,33,1,201.33,461.0,,,,,,,Ilab
282,Ge,32,1,201.91,744.0,,,,,,,Ilab
283,Bi,83,3,202.12,300.0,,,,,,,Ilab
284,Au,79,1,202.14,786.0,,,,,,,Ilab
285,P,15,1,202.35,563.0,,,,,,,Ilab
286,Re,75,1,202.37,-100.0,,,,,,,Ilab
287,P,15,1,202.45,519.0,,,,,,,Ilab
288,Zn,30,2,202.55,621.0,,,,,,,Ilab
289,Mg,12,1,202.58,220.0,,,,,,,Ilab
290,Pt,78,1,203.06,807.0,,,,,,,Ilab
291,P,15,1,203.24,599.0,,,,,,,Ilab
292,Be,4,1,203.26,220.0,,,,,,,Ilab
293,P,15,1,203.35,599.0,,,,,,,Ilab
294,Ir,77,1,203.36,962.0,,,,,,,Ilab
295,Pt,78,2,203.65,461.0,,,,,,,Ilab
296,Sb,51,1,203.98,425.0,,,,,,,Ilab
297,Se,34,1,203.98,621.0,,,,,,,Ilab
298,Ge,32,1,204.17,778.0,,,,,,,Ilab
299,Ge,32,1,204.38,738.0,,,,,,,Ilab
300,Ir,77,1,204.42,-100.0,,,,,,,Ilab
301,Au,79,2,204.45,391.0,,,,,,,Ilab
302,Os,76,1,204.54,1017.0,,,,,,,Ilab
303,Os,76,1,204.88,-100.0,,,,,,,Ilab
304,Re,75,1,204.91,1020.0,,,,,,,Ilab
305,Pt,78,1,204.94,861.0,,,,,,,Ilab
306,Sb,51,1,204.96,501.0,,,,,,,Ilab
307,Ir,77,1,205.12,-100.0,,,,,,,Ilab
308,Ge,32,1,205.45,604.0,,,,,,,Ilab
309,Be,4,1,205.6,256.0,,,,,,,Ilab
310,Ge,32,1,205.72,539.0,,,,,,,Ilab
311,I,53,1,206.16,1192.0,,,,,,,Ilab
312,Bi,83,1,206.16,910.0,,,,,,,Ilab
313,Zn,30,2,206.2,621.0,,,,,,,Ilab
314,Se,34,1,206.28,-100.0,,,,,,,Ilab
315,Ge,32,1,206.52,662.0,,,,,,,Ilab
316,Os,76,2,206.72,896.0,,,,,,,Ilab
317,Sb,51,1,206.83,691.0,,,,,,,Ilab
318,Ge,32,1,206.87,786.0,,,,,,,Ilab
319,Os,76,2,207.07,834.0,,,,,,,Ilab
320,Te,52,1,207.11,1141.0,,,,,,,Ilab
321,Se,34,1,207.48,621.0,,,,,,,Ilab
322,In,49,2,207.86,1124.0,,,,,,,Ilab
323,Te,52,1,208.12,1274.0,,,,,,,Ilab
324,Au,79,2,208.21,501.0,,,,,,,Ilab
325,Re,75,1,208.37,-100.0,,,,,,,Ilab
326,Ir,77,1,208.88,974.0,,,,,,,Ilab
327,B,5,1,208.89,450.0,,,,,,,Ilab
328,B,5,1,208.96,501.0,,,,,,,Ilab
329,Sn,50,1,209.16,744.0,,,,,,,Ilab
330,Re,75,2,209.24,846.0,,,,,,,Ilab
331,Ir,77,1,209.26,955.0,,,,,,,Ilab
332,Ge,32,1,209.43,760.0,,,,,,,Ilab
333,Sb,51,1,209.84,391.0,,,,,,,Ilab
334,Pt,78,1,210.33,691.0,,,,,,,Ilab
335,Ge,32,1,210.58,548.0,,,,,,,Ilab
336,Ru,44,1,210.73,-100.0,,,,,,,Ilab
337,Bi,83,1,211.02,843.0,,,,,,,Ilab
