,ElemSymbol,AtNum,Charge,Wavelength,IntIlab,Aki,Ei,Ek,gi,gk,IntAtomtrace,Source
545,C,6,1,247.86,668.0,,,,,,,Ilab
546,Po,84,1,248.39,655.0,,,,,,,Ilab
547,Os,76,2,248.62,627.0,,,,,,,Ilab
548,Pd,46,2,248.65,552.0,,,,,,,Ilab
549,Pt,78,1,248.72,691.0,,,,,,,Ilab
550,Os,76,1,248.86,841.0,,,,,,,Ilab
551,Ta,73,2,248.87,640.0,,,,,,,Ilab
552,W,74,2,248.88,557.0,,,,,,,Ilab
553,Pd,46,2,248.89,570.0,,,,,,,Ilab
554,W,74,2,248.92,605.0,,,,,,,Ilab
555,Po,84,1,249.05,655.0,,,,,,,Ilab
556,Rh,45,2,249.08,461.0,,,,,,,Ilab
557,As,33,1,249.29,369.0,,,,,,,Ilab
558,Be,4,1,249.46,283.0,,,,,,,Ilab
559,Be,4,1,249.47,300.0,,,,,,,Ilab
560,B,5,1,249.68,470.0,,,,,,,Ilab
561,Tc,43,2,249.68,461.0,,,,,,,Ilab
562,B,5,1,249.77,535.0,,,,,,,Ilab
563,Ge,32,1,249.8,450.0,,,,,,,Ilab
564,Ga,31,1,250.02,-100.0,,,,,,,Ilab
565,Ga,31,1,250.07,-100.0,,,,,,,Ilab
566,Zn,30,2,250.2,691.0,,,,,,,Ilab
567,Ir,77,1,250.3,832.0,,,,,,,Ilab
568,Rh,45,2,250.51,369.0,,,,,,,Ilab
569,Si,14,1,250.69,605.0,,,,,,,Ilab
570,Hf,72,2,251.27,636.0,,,,,,,Ilab
571,Hf,72,2,251.3,636.0,,,,,,,Ilab
572,Si,14,1,251.43,593.0,,,,,,,Ilab
573,Si,14,1,251.61,621.0,,,,,,,Ilab
574,Hf,72,2,251.69,679.0,,,,,,,Ilab
575,Si,14,1,251.92,586.0,,,,,,,Ilab
576,Rh,45,2,252.05,487.0,,,,,,,Ilab
577,In,49,1,252.14,461.0,,,,,,,Ilab
578,Si,14,1,252.41,605.0,,,,,,,Ilab
579,Ba,56,2,252.84,552.0,,,,,,,Ilab
580,Si,14,1,252.85,611.0,,,,,,,Ilab
581,Sb,51,1,252.85,760.0,,,,,,,Ilab
582,Te,52,1,253.07,1215.0,,,,,,,Ilab
583,Ta,73,2,253.21,640.0,,,,,,,Ilab
584,Ge,32,1,253.32,425.0,,,,,,,Ilab
585,P,15,1,253.4,662.0,,,,,,,Ilab
586,P,15,1,253.56,686.0,,,,,,,Ilab
587,Hg,80,1,253.65,1371.0,,,,,,,Ilab
588,Fe,26,1,253.72,764.0,,,,,,,Ilab
589,Os,76,2,253.8,666.0,,,,,,,Ilab
590,Yb,70,2,253.87,560.0,,,,,,,Ilab
591,Tc,43,2,254.32,621.0,,,,,,,Ilab
592,Ir,77,1,254.4,897.0,,,,,,,Ilab
593,Sn,50,1,254.65,863.0,,,,,,,Ilab
594,Sc,21,2,255.24,230.0,,,,,,,Ilab
595,P,15,1,255.33,662.0,,,,,,,Ilab
596,Ta,73,2,255.46,613.0,,,,,,,Ilab
597,W,74,2,255.51,541.0,,,,,,,Ilab
598,Zn,30,2,255.8,691.0,,,,,,,Ilab
599,Po,84,1,255.8,731.0,,,,,,,Ilab
600,In,49,1,256.02,700.0,,,,,,,Ilab
601,Sc,21,2,256.02,230.0,,,,,,,Ilab
602,Pd,46,2,256.55,501.0,,,,,,,Ilab
603,Th,90,1,256.56,-100.0,,,,,,,Ilab
604,Al,13,1,256.8,230.0,,,,,,,Ilab
605,Re,75,2,256.86,629.0,,,,,,,Ilab
606,Zr,40,2,256.89,738.0,,,,,,,Ilab
607,Zr,40,2,257.14,765.0,,,,,,,Ilab
608,W,74,2,257.14,590.0,,,,,,,Ilab
609,Sn,50,1,257.16,897.0,,,,,,,Ilab
610,Hf,72,2,257.17,679.0,,,,,,,Ilab
611,Cd,48,2,257.29,621.0,,,,,,,Ilab
612,Al,13,1,257.51,230.0,,,,,,,Ilab
613,Al,13,1,257.54,110.0,,,,,,,Ilab
614,Mn,25,2,257.61,921.0,,,,,,,Ilab
615,Pb,82,1,257.73,438.0,,,,,,,Ilab
616,Lu,71,2,257.88,744.0,,,,,,,Ilab
617,Tl,81,1,258.01,655.0,,,,,,,Ilab
618,Fe,26,2,258.59,1312.0,,,,,,,Ilab
619,Ge,32,1,259.25,621.0,,,,,,,Ilab
620,Ta,73,2,259.37,602.0,,,,,,,Ilab
621,Mn,25,2,259.37,691.0,,,,,,,Ilab
622,Ta,73,2,259.42,574.0,,,,,,,Ilab
623,Ta,73,2,259.64,574.0,,,,,,,Ilab
624,Sb,51,1,259.8,731.0,,,,,,,Ilab
625,Fe,26,2,259.84,1312.0,,,,,,,Ilab
626,Fe,26,2,259.94,1382.0,,,,,,,Ilab
627,In,49,1,260.18,530.0,,,,,,,Ilab
628,Ta,73,2,260.35,640.0,,,,,,,Ilab
629,Mn,25,2,260.57,691.0,,,,,,,Ilab
630,Hf,72,2,260.7,611.0,,,,,,,Ilab
631,Fe,26,2,260.71,1312.0,,,,,,,Ilab
632,Re,75,2,260.85,649.0,,,,,,,Ilab
633,Tc,43,2,261.0,691.0,,,,,,,Ilab
634,La,57,2,261.03,599.0,,,,,,,Ilab
635,Fe,26,2,261.19,1330.0,,,,,,,Ilab
636,Lu,71,2,261.34,750.0,,,,,,,Ilab
637,Fe,26,2,261.38,1268.0,,,,,,,Ilab
638,Pb,82,1,261.42,680.0,,,,,,,Ilab
639,Lu,71,2,261.54,980.0,,,,,,,Ilab
640,Fe,26,2,261.76,1235.0,,,,,,,Ilab
641,Cu,29,1,261.84,782.0,,,,,,,Ilab
642,Lu,71,2,261.93,750.0,,,,,,,Ilab
643,Mn,25,2,262.56,801.0,,,,,,,Ilab
644,Fe,26,2,262.57,1271.0,,,,,,,Ilab
645,Bi,83,1,262.79,655.0,,,,,,,Ilab
646,Pt,78,1,262.8,700.0,,,,,,,Ilab
647,Fe,26,2,263.1,1290.0,,,,,,,Ilab
648,Si,14,1,263.13,525.0,,,,,,,Ilab
649,Fe,26,2,263.13,1290.0,,,,,,,Ilab
650,Ga,31,1,263.25,-100.0,,,,,,,Ilab
651,Ba,56,2,263.48,594.0,,,,,,,Ilab
652,Tc,43,2,263.49,530.0,,,,,,,Ilab
653,U,92,2,263.55,641.0,,,,,,,Ilab
654,Hf,72,2,263.87,700.0,,,,,,,Ilab
655,Eu,63,2,263.88,691.0,,,,,,,Ilab
656,Ir,77,1,263.97,816.0,,,,,,,Ilab
657,Hf,72,2,264.14,700.0,,,,,,,Ilab
658,Au,79,1,264.15,552.0,,,,,,,Ilab
659,Pt,78,1,264.69,691.0,,,,,,,Ilab
660,Tc,43,2,264.7,691.0,,,,,,,Ilab
661,Be,4,1,265.06,271.0,,,,,,,Ilab
662,Pt,78,1,265.09,621.0,,,,,,,Ilab
663,Ge,32,1,265.12,709.0,,,,,,,Ilab
664,Ta,73,2,265.12,560.0,,,,,,,Ilab
665,Ge,32,1,265.16,621.0,,,,,,,Ilab
666,Al,13,1,265.25,230.0,,,,,,,Ilab
667,Mo,42,2,265.33,617.0,,,,,,,Ilab
668,Yb,70,2,265.38,690.0,,,,,,,Ilab
669,Lu,71,2,265.78,790.0,,,,,,,Ilab
670,W,74,4,265.8,409.0,,,,,,,Ilab
671,Pt,78,1,265.94,794.0,,,,,,,Ilab
672,Ga,31,1,265.99,-100.0,,,,,,,Ilab
673,Al,13,1,266.04,230.0,,,,,,,Ilab
674,Mo,42,2,266.06,646.0,,,,,,,Ilab
675,Ru,44,2,266.16,580.0,,,,,,,Ilab
676,Pb,82,1,266.32,655.0,,,,,,,Ilab
677,Ir,77,1,266.48,790.0,,,,,,,Ilab
678,Eu,63,2,266.83,646.0,,,,,,,Ilab
679,Yb,70,2,267.27,597.0,,,,,,,Ilab
680,Mo,42,2,267.28,658.0,,,,,,,Ilab
681,Ta,73,2,267.59,665.0,,,,,,,Ilab
682,Au,79,1,267.6,813.0,,,,,,,Ilab
683,Cr,24,2,267.72,901.0,,,,,,,Ilab
684,Zr,40,2,267.86,750.0,,,,,,,Ilab
685,Ru,44,2,267.88,654.0,,,,,,,Ilab
686,Cr,24,2,267.88,744.0,,,,,,,Ilab
687,Mo,42,2,268.32,646.0,,,,,,,Ilab
688,Mo,42,2,268.41,678.0,,,,,,,Ilab
689,Ta,73,2,268.52,731.0,,,,,,,Ilab
690,V,23,2,268.8,700.0,,,,,,,Ilab
691,Mo,42,2,268.8,633.0,,,,,,,Ilab
692,Au,79,1,268.87,340.0,,,,,,,Ilab
693,Ge,32,1,269.13,621.0,,,,,,,Ilab
694,Eu,63,2,269.2,631.0,,,,,,,Ilab
695,Ru,44,2,269.21,580.0,,,,,,,Ilab
696,Th,90,1,269.24,-100.0,,,,,,,Ilab
697,Ir,77,1,269.42,801.0,,,,,,,Ilab
698,Ta,73,2,269.45,615.0,,,,,,,Ilab
699,Bi,83,1,269.68,563.0,,,,,,,Ilab
700,W,74,2,269.77,518.0,,,,,,,Ilab
701,Mo,42,1,270.1,494.0,,,,,,,Ilab
702,Mo,42,2,270.14,617.0,,,,,,,Ilab
703,Lu,71,2,270.17,834.0,,,,,,,Ilab
704,Mo,42,2,270.19,340.0,,,,,,,Ilab
705,Pt,78,1,270.24,760.0,,,,,,,Ilab
706,Pt,78,1,270.59,738.0,,,,,,,Ilab
707,Sn,50,1,270.65,931.0,,,,,,,Ilab
708,Ge,32,1,270.96,675.0,,,,,,,Ilab
709,In,49,1,271.03,738.0,,,,,,,Ilab
710,Ru,44,2,271.24,530.0,,,,,,,Ilab
711,In,49,1,271.39,570.0,,,,,,,Ilab
712,Eu,63,2,271.7,655.0,,,,,,,Ilab
713,Pt,78,1,271.9,717.0,,,,,,,Ilab
714,Ga,31,1,271.97,110.0,,,,,,,Ilab
715,Nb,41,2,272.2,615.0,,,,,,,Ilab
716,Zr,40,2,272.26,717.0,,,,,,,Ilab
717,Ta,73,2,272.74,615.0,,,,,,,Ilab
718,Eu,63,2,272.78,834.0,,,,,,,Ilab
719,Re,75,2,273.3,641.0,,,,,,,Ilab
720,Pt,78,1,273.4,750.0,,,,,,,Ilab
721,Ru,44,2,273.43,574.0,,,,,,,Ilab
722,Zr,40,2,273.49,724.0,,,,,,,Ilab
723,Be,4,1,273.8,220.0,,,,,,,Ilab
724,Fe,26,2,273.95,1382.0,,,,,,,Ilab
725,Zr,40,2,274.26,700.0,,,,,,,Ilab
726,Fe,26,2,274.32,1312.0,,,,,,,Ilab
727,Fe,26,2,274.32,990.0,,,,,,,Ilab
728,As,33,1,274.5,369.0,,,,,,,Ilab
729,Fe,26,2,274.65,1346.0,,,,,,,Ilab
730,Fe,26,2,274.7,1312.0,,,,,,,Ilab
731,Th,90,1,274.72,-100.0,,,,,,,Ilab
732,Au,79,1,274.82,700.0,,,,,,,Ilab
733,Cd,48,2,274.85,691.0,,,,,,,Ilab
734,Fe,26,2,274.93,1371.0,,,,,,,Ilab
735,Yb,70,2,275.05,717.0,,,,,,,Ilab
736,Th,90,2,275.22,794.0,,,,,,,Ilab
737,In,49,1,275.39,655.0,,,,,,,Ilab
738,Lu,71,2,275.42,819.0,,,,,,,Ilab
739,Ge,32,1,275.46,648.0,,,,,,,Ilab
740,Fe,26,2,275.57,1391.0,,,,,,,Ilab
741,Ta,73,2,276.17,606.0,,,,,,,Ilab
742,Po,84,1,276.19,640.0,,,,,,,Ilab
743,Cr,24,1,276.26,706.0,,,,,,,Ilab
744,Pd,46,1,276.31,755.0,,,,,,,Ilab
745,W,74,2,276.43,520.0,,,,,,,Ilab
746,Cu,29,1,276.64,782.0,,,,,,,Ilab
747,Cr,24,2,276.65,839.0,,,,,,,Ilab
748,Tl,81,1,276.79,839.0,,,,,,,Ilab
749,Th,90,2,276.88,774.0,,,,,,,Ilab
750,Sb,51,1,277.0,599.0,,,,,,,Ilab
751,Hf,72,2,277.34,689.0,,,,,,,Ilab
752,Mo,42,2,277.54,744.0,,,,,,,Ilab
753,Mg,12,1,277.67,289.0,,,,,,,Ilab
754,Mg,12,1,277.83,289.0,,,,,,,Ilab
755,Mg,12,1,277.98,300.0,,,,,,,Ilab
756,Mo,42,2,278.0,678.0,,,,,,,Ilab
757,As,33,1,278.02,514.0,,,,,,,Ilab
758,Mg,12,1,278.14,289.0,,,,,,,Ilab
759,Mg,12,1,278.3,289.0,,,,,,,Ilab
760,Mg,12,2,279.08,220.0,,,,,,,Ilab
761,Mn,25,1,279.48,873.0,,,,,,,Ilab
762,Mg,12,2,279.55,256.0,,,,,,,Ilab
763,Lu,71,2,279.66,790.0,,,,,,,Ilab
764,Ta,73,2,279.78,652.0,,,,,,,Ilab
765,Mg,12,2,279.8,230.0,,,,,,,Ilab
766,Mn,25,1,279.83,854.0,,,,,,,Ilab
767,Pb,82,1,280.2,1013.0,,,,,,,Ilab
768,Mg,12,2,280.27,248.0,,,,,,,Ilab
769,Eu,63,2,280.28,755.0,,,,,,,Ilab
770,Bi,83,1,280.96,494.0,,,,,,,Ilab
771,Tc,43,2,281.16,621.0,,,,,,,Ilab
772,Eu,63,2,281.39,813.0,,,,,,,Ilab
773,Mo,42,2,281.62,744.0,,,,,,,Ilab
774,Al,13,2,281.62,829.0,,,,,,,Ilab
775,Hf,72,2,282.02,709.0,,,,,,,Ilab
776,Eu,63,2,282.08,760.0,,,,,,,Ilab
777,Pb,82,1,282.32,955.0,,,,,,,Ilab
778,Cu,29,1,282.44,713.0,,,,,,,Ilab
779,Pt,78,1,283.03,724.0,,,,,,,Ilab
780,Th,90,2,283.23,848.0,,,,,,,Ilab
781,Pb,82,1,283.31,1046.0,,,,,,,Ilab
782,Cr,24,2,283.56,921.0,,,,,,,Ilab
783,Cd,48,1,283.69,530.0,,,,,,,Ilab
784,Th,90,2,283.73,891.0,,,,,,,Ilab
785,Os,76,1,283.86,854.0,,,,,,,Ilab
786,Sn,50,1,284.0,947.0,,,,,,,Ilab
787,Cr,24,2,284.32,891.0,,,,,,,Ilab
788,Yb,70,2,284.72,544.0,,,,,,,Ilab
789,Lu,71,2,284.75,801.0,,,,,,,Ilab
790,Mo,42,2,284.82,744.0,,,,,,,Ilab
791,Ir,77,1,284.97,824.0,,,,,,,Ilab
792,Cr,24,2,284.98,867.0,,,,,,,Ilab
793,Yb,70,2,285.11,589.0,,,,,,,Ilab
794,Th,90,2,285.13,765.0,,,,,,,Ilab
795,Mg,12,1,285.21,391.0,,,,,,,Ilab
796,Mo,42,2,285.32,591.0,,,,,,,Ilab
797,Tc,43,1,285.91,760.0,,,,,,,Ilab
798,As,33,1,286.04,461.0,,,,,,,Ilab
799,Cr,24,2,286.09,709.0,,,,,,,Ilab
800,Hf,72,2,286.1,663.0,,,,,,,Ilab
801,Hf,72,2,286.17,663.0,,,,,,,Ilab
802,Cr,24,2,286.26,778.0,,,,,,,Ilab
803,Sn,50,1,286.33,921.0,,,,,,,Ilab
804,Cr,24,2,286.51,782.0,,,,,,,Ilab
805,Cr,24,2,286.67,765.0,,,,,,,Ilab
806,Cr,24,2,286.76,731.0,,,,,,,Ilab
807,Tm,69,2,286.92,738.0,,,,,,,Ilab
808,Th,90,2,287.04,813.0,,,,,,,Ilab
809,Pb,82,1,287.33,955.0,,,,,,,Ilab
810,Ga,31,1,287.42,110.0,,,,,,,Ilab
811,Nb,41,2,287.54,668.0,,,,,,,Ilab
812,Sb,51,1,287.79,691.0,,,,,,,Ilab
813,Cd,48,1,288.08,530.0,,,,,,,Ilab
814,Si,14,1,288.16,691.0,,,,,,,Ilab
815,Th,90,2,288.5,786.0,,,,,,,Ilab
816,Mn,25,2,288.96,621.0,,,,,,,Ilab
817,Mo,42,2,289.1,717.0,,,,,,,Ilab
818,Mo,42,2,289.13,455.0,,,,,,,Ilab
819,Yb,70,2,289.14,819.0,,,,,,,Ilab
820,Au,79,1,289.2,570.0,,,,,,,Ilab
821,Lu,71,2,289.48,875.0,,,,,,,Ilab
822,Bi,83,1,289.8,829.0,,,,,,,Ilab
823,Be,4,1,289.83,195.0,,,,,,,Ilab
824,V,23,2,290.65,680.0,,,,,,,Ilab
825,Eu,63,2,290.67,807.0,,,,,,,Ilab
826,V,23,2,290.88,778.0,,,,,,,Ilab
827,Os,76,1,290.91,917.0,,,,,,,Ilab
828,Er,68,2,291.04,731.0,,,,,,,Ilab
829,Nb,41,2,291.06,651.0,,,,,,,Ilab
830,Lu,71,2,291.14,910.0,,,,,,,Ilab
831,Nb,41,2,291.17,615.0,,,,,,,Ilab
832,Mo,42,2,291.19,700.0,,,,,,,Ilab
833,Tl,81,1,291.83,794.0,,,,,,,Ilab
834,Mo,42,2,292.34,717.0,,,,,,,Ilab
835,V,23,1,292.36,657.0,,,,,,,Ilab
836,V,23,2,292.4,778.0,,,,,,,Ilab
837,V,23,2,292.46,744.0,,,,,,,Ilab
838,Ir,77,1,292.48,839.0,,,,,,,Ilab
839,Nb,41,2,292.78,700.0,,,,,,,Ilab
840,Mg,12,2,292.86,220.0,,,,,,,Ilab
841,Hf,72,2,292.96,619.0,,,,,,,Ilab
842,Pt,78,1,292.98,744.0,,,,,,,Ilab
843,Mo,42,2,293.05,700.0,,,,,,,Ilab
844,V,23,2,293.08,657.0,,,,,,,Ilab
845,In,49,1,293.26,700.0,,,,,,,Ilab
846,Mn,25,2,293.31,760.0,,,,,,,Ilab
847,Pu,94,2,293.33,921.0,,,,,,,Ilab
848,Mg,12,2,293.65,230.0,,,,,,,Ilab
849,Hf,72,2,293.78,657.0,,,,,,,Ilab
850,Bi,83,1,293.83,807.0,,,,,,,Ilab
851,Mn,25,2,293.93,801.0,,,,,,,Ilab
852,V,23,2,294.14,680.0,,,,,,,Ilab
853,Nb,41,2,294.15,677.0,,,,,,,Ilab
854,U,92,2,294.19,717.0,,,,,,,Ilab
855,Th,90,2,294.29,770.0,,,,,,,Ilab
856,Ga,31,1,294.36,110.0,,,,,,,Ilab
857,Ga,31,1,294.42,0.0,,,,,,,Ilab
858,V,23,2,294.46,700.0,,,,,,,Ilab
859,Mn,25,2,294.92,852.0,,,,,,,Ilab
860,Pu,94,2,295.01,921.0,,,,,,,Ilab
861,Nb,41,2,295.09,700.0,,,,,,,Ilab
862,Lu,71,2,295.17,709.0,,,,,,,Ilab
863,U,92,2,295.61,636.0,,,,,,,Ilab
864,Po,84,1,295.89,640.0,,,,,,,Ilab
865,Cu,29,1,296.12,782.0,,,,,,,Ilab
866,Lu,71,2,296.33,834.0,,,,,,,Ilab
867,Er,68,2,296.45,731.0,,,,,,,Ilab
868,Ta,73,2,296.51,665.0,,,,,,,Ilab
869,Pu,94,2,296.68,921.0,,,,,,,Ilab
870,Hg,80,1,296.73,801.0,,,,,,,Ilab
871,Lu,71,2,296.98,778.0,,,,,,,Ilab
872,Yb,70,2,297.06,760.0,,,,,,,Ilab
873,Pu,94,2,297.25,921.0,,,,,,,Ilab
874,Nb,41,2,297.41,577.0,,,,,,,Ilab
875,Hf,72,2,297.59,679.0,,,,,,,Ilab
876,Ru,44,2,297.66,494.0,,,,,,,Ilab
877,Pu,94,2,298.02,921.0,,,,,,,Ilab
878,Cd,48,1,298.06,691.0,,,,,,,Ilab
879,Yb,70,2,298.4,530.0,,,,,,,Ilab
880,Be,4,1,298.61,240.0,,,,,,,Ilab
881,Be,4,1,298.64,230.0,,,,,,,Ilab
882,Si,14,1,298.76,501.0,,,,,,,Ilab
883,Th,90,2,298.82,770.0,,,,,,,Ilab
884,Bi,83,1,298.9,794.0,,,,,,,Ilab
885,C,6,2,299.26,668.0,,,,,,,Ilab
886,Bi,83,1,299.33,655.0,,,,,,,Ilab
887,Pu,94,2,299.64,921.0,,,,,,,Ilab
888,Pt,78,1,299.8,750.0,,,,,,,Ilab
889,Re,75,1,299.96,861.0,,,,,,,Ilab
890,Er,68,2,300.24,709.0,,,,,,,Ilab
891,Ni,28,1,300.25,829.0,,,,,,,Ilab
892,Po,84,1,300.32,782.0,,,,,,,Ilab
893,Ni,28,1,300.36,770.0,,,,,,,Ilab
894,Yb,70,2,300.58,574.0,,,,,,,Ilab
895,Sn,50,1,300.91,939.0,,,,,,,Ilab
896,Gd,64,2,301.01,765.0,,,,,,,Ilab
897,Ni,28,1,301.2,822.0,,,,,,,Ilab
898,Hf,72,2,301.29,700.0,,,,,,,Ilab
899,Tm,69,2,301.53,731.0,,,,,,,Ilab
900,Os,76,1,301.8,839.0,,,,,,,Ilab
901,Be,4,1,301.95,220.0,,,,,,,Ilab
902,Lu,71,2,302.05,801.0,,,,,,,Ilab
903,Cr,24,1,302.44,208.0,,,,,,,Ilab
904,Bi,83,1,302.46,778.0,,,,,,,Ilab
905,Ne,10,2,302.7,530.0,,,,,,,Ilab
906,Nb,41,2,302.84,586.0,,,,,,,Ilab
907,Pu,94,2,302.88,921.0,,,,,,,Ilab
908,Ne,10,2,302.89,548.0,,,,,,,Ilab
909,Au,79,1,302.92,577.0,,,,,,,Ilab
910,Yb,70,2,303.11,682.0,,,,,,,Ilab
911,Hf,72,2,303.12,602.0,,,,,,,Ilab
912,Gd,64,2,303.28,765.0,,,,,,,Ilab
913,Gd,64,2,303.4,738.0,,,,,,,Ilab
914,Sn,50,1,303.41,921.0,,,,,,,Ilab
915,Ge,32,1,303.91,662.0,,,,,,,Ilab
916,In,49,1,303.93,899.0,,,,,,,Ilab
917,Ta,73,2,304.21,567.0,,,,,,,Ilab
918,Pt,78,1,304.26,668.0,,,,,,,Ilab
919,Ac,89,2,304.33,621.0,,,,,,,Ilab
920,Al,13,1,305.01,256.0,,,,,,,Ilab
921,Ni,28,1,305.08,816.0,,,,,,,Ilab
922,Al,13,1,305.47,161.0,,,,,,,Ilab
923,Lu,71,2,305.67,765.0,,,,,,,Ilab
924,Al,13,1,305.71,264.0,,,,,,,Ilab
925,Os,76,1,305.87,906.0,,,,,,,Ilab
926,Al,13,1,306.43,195.0,,,,,,,Ilab
927,Pt,78,1,306.47,807.0,,,,,,,Ilab
928,Al,13,1,306.61,161.0,,,,,,,Ilab
929,Bi,83,1,306.77,910.0,,,,,,,Ilab
930,Pm,61,2,307.24,570.0,,,,,,,Ilab
931,Lu,71,2,307.76,892.0,,,,,,,Ilab
932,Th,90,2,307.88,804.0,,,,,,,Ilab
933,Al,13,1,308.22,318.0,,,,,,,Ilab
934,Ho,67,2,308.44,681.0,,,,,,,Ilab
935,Al,13,1,309.27,326.0,,,,,,,Ilab
936,Al,13,1,309.28,300.0,,,,,,,Ilab
937,Mg,12,1,309.3,309.0,,,,,,,Ilab
938,V,23,2,309.31,824.0,,,,,,,Ilab
939,Nb,41,2,309.42,750.0,,,,,,,Ilab
940,Gd,64,2,310.05,816.0,,,,,,,Ilab
941,Th,90,2,310.83,827.0,,,,,,,Ilab
942,Hf,72,2,310.91,657.0,,,,,,,Ilab
943,V,23,2,311.07,786.0,,,,,,,Ilab
944,U,92,2,311.16,688.0,,,,,,,Ilab
945,Pd,46,1,311.4,786.0,,,,,,,Ilab
946,V,23,2,311.84,760.0,,,,,,,Ilab
947,Ho,67,2,311.85,663.0,,,,,,,Ilab
948,Cr,24,2,311.86,786.0,,,,,,,Ilab
949,Cr,24,2,312.04,827.0,,,,,,,Ilab
950,V,23,2,312.53,731.0,,,,,,,Ilab
951,Be,4,2,313.04,777.0,,,,,,,Ilab
952,Nb,41,2,313.08,731.0,,,,,,,Ilab
953,Be,4,2,313.11,768.0,,,,,,,Ilab
954,Tm,69,2,313.13,891.0,,,,,,,Ilab
955,Tm,69,2,313.39,774.0,,,,,,,Ilab
956,Ne,10,2,314.13,548.0,,,,,,,Ilab
957,U,92,2,314.92,652.0,,,,,,,Ilab
958,Ac,89,2,315.31,621.0,,,,,,,Ilab
959,Ac,89,2,315.44,640.0,,,,,,,Ilab
960,Ca,20,2,315.89,514.0,,,,,,,Ilab
961,Pu,94,2,315.92,921.0,,,,,,,Ilab
962,Nb,41,2,316.34,709.0,,,,,,,Ilab
963,Zr,40,2,316.6,678.0,,,,,,,Ilab
964,Mo,42,1,317.03,907.0,,,,,,,Ilab
965,Tc,43,1,317.33,801.0,,,,,,,Ilab
966,Pu,94,2,317.45,921.0,,,,,,,Ilab
967,Sn,50,1,317.5,962.0,,,,,,,Ilab
968,Ca,20,2,317.93,519.0,,,,,,,Ilab
969,Th,90,2,318.02,902.0,,,,,,,Ilab
970,Nb,41,2,318.03,597.0,,,,,,,Ilab
971,Ca,20,2,318.13,501.0,,,,,,,Ilab
972,Er,68,2,318.19,677.0,,,,,,,Ilab
973,V,23,1,318.34,807.0,,,,,,,Ilab
974,V,23,1,318.4,858.0,,,,,,,Ilab
975,V,23,1,318.54,824.0,,,,,,,Ilab
976,V,23,2,318.85,627.0,,,,,,,Ilab
977,Nb,41,2,319.11,570.0,,,,,,,Ilab
978,Yb,70,2,319.29,597.0,,,,,,,Ilab
979,Mo,42,1,319.4,894.0,,,,,,,Ilab
980,Hf,72,2,319.42,651.0,,,,,,,Ilab
981,Nb,41,2,319.5,691.0,,,,,,,Ilab
982,Tc,43,2,319.52,668.0,,,,,,,Ilab
983,Y,39,2,319.56,774.0,,,,,,,Ilab
984,Lu,71,2,319.81,724.0,,,,,,,Ilab
985,Pu,94,2,319.85,921.0,,,,,,,Ilab
986,Ne,10,2,319.86,570.0,,,,,,,Ilab
987,Y,39,2,320.03,770.0,,,,,,,Ilab
988,Ti,22,2,320.25,702.0,,,,,,,Ilab
989,Y,39,2,320.33,770.0,,,,,,,Ilab
990,Nb,41,2,320.63,570.0,,,,,,,Ilab
991,Tc,43,2,321.2,691.0,,,,,,,Ilab
992,Zr,40,2,321.42,663.0,,,,,,,Ilab
993,Nb,41,2,321.56,597.0,,,,,,,Ilab
994,Ti,22,2,321.71,746.0,,,,,,,Ilab
995,Tb,65,2,321.89,700.0,,,,,,,Ilab
996,Tb,65,2,322.0,709.0,,,,,,,Ilab
997,Ir,77,1,322.08,854.0,,,,,,,Ilab
998,Pu,94,2,322.09,921.0,,,,,,,Ilab
999,Ti,22,2,322.28,757.0,,,,,,,Ilab
1000,Pu,94,2,322.49,921.0,,,,,,,Ilab
1001,Nb,41,2,322.55,668.0,,,,,,,Ilab
1002,Th,90,2,322.9,778.0,,,,,,,Ilab
1003,Er,68,2,323.06,774.0,,,,,,,Ilab
1004,Zr,40,2,323.17,645.0,,,,,,,Ilab
1005,Pu,94,2,323.26,921.0,,,,,,,Ilab
1006,Li,3,1,323.27,283.0,,,,,,,Ilab
1007,Ti,22,2,323.45,847.0,,,,,,,Ilab
1008,Nb,41,2,323.64,599.0,,,,,,,Ilab
1009,Ti,22,2,323.66,832.0,,,,,,,Ilab
1010,Tm,69,2,323.68,709.0,,,,,,,Ilab
1011,Tc,43,2,323.7,691.0,,,,,,,Ilab
1012,Th,90,2,323.81,852.0,,,,,,,Ilab
1013,Ti,22,2,323.9,815.0,,,,,,,Ilab
1014,Tm,69,2,324.02,738.0,,,,,,,Ilab
1015,Ti,22,2,324.2,805.0,,,,,,,Ilab
1016,Y,39,2,324.23,873.0,,,,,,,Ilab
1017,Pd,46,1,324.27,931.0,,,,,,,Ilab
1018,Pu,94,1,324.42,921.0,,,,,,,Ilab
1019,Pu,94,2,324.52,921.0,,,,,,,Ilab
1020,Cu,29,1,324.75,921.0,,,,,,,Ilab
1021,Ti,22,2,324.86,789.0,,,,,,,Ilab
1022,Pd,46,1,325.16,790.0,,,,,,,Ilab
1023,Pu,94,1,325.21,921.0,,,,,,,Ilab
1024,Cd,48,1,325.25,570.0,,,,,,,Ilab
1025,Ti,22,2,325.29,754.0,,,,,,,Ilab
1026,Nb,41,2,325.41,577.0,,,,,,,Ilab
1027,Lu,71,2,325.43,848.0,,,,,,,Ilab
1028,In,49,1,325.61,947.0,,,,,,,Ilab
1029,In,49,1,325.86,801.0,,,,,,,Ilab
