Wavelength;Intensity;Element;AtWeight;Charge
103.76800000;179;54;0.000000000000;1
104.13060000;230;54;0.000000000000;1
104.82200000;691;18;0.000000000000;0
104.82720000;208;54;0.000000000000;1
105.19200000;230;54;0.000000000000;1
106.38310000;870;17;0.000000000000;1
106.66600000;621;18;0.000000000000;0
106.79450000;801;17;0.000000000000;1
107.10360000;910;17;0.000000000000;1
107.17670000;870;17;0.000000000000;1
107.44760000;248;54;0.000000000000;1
107.52300000;852;17;0.000000000000;1
107.90800000;852;17;0.000000000000;1
110.04320000;230;54;0.000000000000;1
116.48670000;426;36;0.000000000000;0
118.30530000;208;54;0.000000000000;1
119.95500000;602;7;0.000000000000;0
120.02230000;595;7;0.000000000000;0
120.07100000;589;7;0.000000000000;0
121.56701000;1364;1;0.000000000000;0
123.58380000;461;36;0.000000000000;0
124.31790000;589;7;0.000000000000;0
125.05780000;256;16;0.000000000000;1
125.38050000;271;16;0.000000000000;1
125.95180000;277;16;0.000000000000;1
127.72450000;552;6;0.000000000000;0
127.72820000;552;6;0.000000000000;0
127.75500000;570;6;0.000000000000;0
128.03330000;530;6;0.000000000000;0
130.21680000;680;8;0.000000000000;0
130.48580000;640;8;0.000000000000;0
130.60290000;570;8;0.000000000000;0
134.72400000;921;17;0.000000000000;0
135.16570000;852;17;0.000000000000;0
136.24630000;691;5;0.000000000000;1
136.34470000;939;17;0.000000000000;0
137.95280000;990;17;0.000000000000;0
138.96930000;1013;17;0.000000000000;0
138.99570000;990;17;0.000000000000;0
139.65270000;939;17;0.000000000000;0
142.50301000;899;16;0.000000000000;0
143.33105000;731;16;0.000000000000;0
147.39948000;921;16;0.000000000000;0
148.30390000;885;16;0.000000000000;0
149.26250000;655;7;0.000000000000;0
156.06830000;599;6;0.000000000000;0
156.14380000;599;6;0.000000000000;0
162.35970000;760;5;0.000000000000;1
162.37900000;744;5;0.000000000000;1
162.40230000;778;5;0.000000000000;1
162.43760000;760;5;0.000000000000;1
165.62660000;501;6;0.000000000000;0
165.69280000;479;6;0.000000000000;0
165.70080000;570;6;0.000000000000;0
165.73800000;479;6;0.000000000000;0
165.79070000;479;6;0.000000000000;0
165.81220000;501;6;0.000000000000;0
166.66875000;977;16;0.000000000000;0
167.07867000;599;13;0.000000000000;1
167.10700000;494;15;0.000000000000;0
167.11500000;552;34;0.000000000000;0
167.15300000;230;82;0.000000000000;1
167.24740000;494;15;0.000000000000;0
167.45910000;640;15;0.000000000000;0
167.52450000;0;21;0.000000000000;1
167.96950000;640;15;0.000000000000;0
168.21500000;230;82;0.000000000000;1
168.59760000;494;15;0.000000000000;0
168.68600000;-100;75;0.000000000000;0
168.75305000;962;16;0.000000000000;0
169.07000000;552;34;0.000000000000;0
169.40280000;461;15;0.000000000000;0
169.43700000;-100;56;0.000000000000;1
169.79400000;530;14;0.000000000000;0
169.93400000;530;79;0.000000000000;0
169.94180000;995;50;0.000000000000;1
169.99000000;1400;52;0.000000000000;0
171.28800000;-100;75;0.000000000000;0
171.89700000;947;26;0.000000000000;1
171.94400000;583;13;0.000000000000;1
172.12714000;590;13;0.000000000000;1
172.49838000;590;13;0.000000000000;1
172.67500000;300;82;0.000000000000;1
173.48450000;369;12;0.000000000000;1
173.61900000;461;51;0.000000000000;0
173.76180000;391;12;0.000000000000;1
