,ElemSymbol,AtNum,Charge,Wavelength
1548,Eu,63,2,390.71
1549,Sc,21,1,390.75
1550,Pr,59,1,390.84
1551,Pm,61,2,391.03
1552,Sc,21,1,391.18
1553,Li,3,1,391.54
1554,La,57,2,391.6
1555,Gd,64,2,391.65
1556,Pr,59,2,391.88
1557,Pm,61,2,391.91
1558,La,57,2,392.15
1559,Tb,65,2,392.54
1560,Pr,59,2,392.55
1561,La,57,2,392.92
1562,Eu,63,2,393.05
1563,U,92,2,393.2
1564,Ca,20,2,393.37
1565,Pm,61,2,393.65
1566,Er,68,2,393.86
1567,Nd,60,2,394.15
1568,Al,13,1,394.4
1569,Pm,61,2,394.42
1570,Dy,66,2,394.47
1571,Tc,43,1,394.66
1572,Y,39,2,395.03
1573,Nd,60,2,395.12
1574,Ce,58,2,395.25
1575,Pr,59,2,395.35
1576,Pm,61,2,395.77
1577,Tm,69,2,395.81
1578,Zr,40,2,395.82
1579,Rh,45,1,395.89
1580,Al,13,1,396.15
1581,Pr,59,2,396.48
1582,Pr,59,1,396.52
1583,Ca,20,2,396.85
1584,Eu,63,2,397.2
1585,Tb,65,2,397.68
1586,Dy,66,2,397.86
1587,Pm,61,2,398.07
1588,Tb,65,2,398.19
1589,Pr,59,1,398.2
1590,Y,39,2,398.26
1591,Tc,43,1,398.5
1592,Li,3,1,398.55
1593,U,92,2,398.58
1594,Zr,40,2,399.11
1595,Pr,59,2,399.48
1596,Pm,61,2,399.5
1597,La,57,2,399.58
1598,Pm,61,2,399.9
1599,Dy,66,2,400.04
1600,Ce,58,2,400.38
1601,Pr,59,2,400.47
1602,Tb,65,2,400.55
1603,Pr,59,2,400.87
1604,Pm,61,2,401.0
1605,Pr,59,2,401.06
1606,Eu,63,2,401.17
1607,Nd,60,2,401.22
1608,Ce,58,2,401.24
1609,Th,90,2,401.91
1610,Sc,21,1,402.04
1611,Sc,21,1,402.37
1612,F,9,2,402.47
1613,F,9,2,402.55
1614,Mn,25,1,403.08
1615,Tc,43,1,403.16
1616,La,57,2,403.17
1617,Ga,31,1,403.3
1618,Mn,25,1,403.31
1619,Mn,25,1,403.45
1620,Ce,58,2,404.08
1621,Mn,25,1,404.14
1622,Ce,58,2,404.26
1623,La,57,2,404.29
1624,Ho,67,2,404.54
1625,Fe,26,1,404.58
1626,Tc,43,1,404.91
1627,U,92,2,405.0
1628,Pm,61,2,405.15
1629,Ho,67,1,405.39
1630,Pm,61,2,405.52
1631,Pr,59,2,405.65
1632,Pb,82,1,405.78
1633,Nb,41,1,405.89
1634,Nd,60,2,406.11
1635,Cu,29,1,406.26
1636,Pr,59,2,406.28
1637,Gd,64,2,406.34
1638,Ho,67,2,406.51
1639,Ce,58,2,407.18
1640,Ce,58,2,407.35
1641,Pm,61,2,407.58
1642,La,57,2,407.74
1643,Sr,38,2,407.77
1644,Dy,66,2,407.8
1645,Pm,61,2,408.61
1646,Ac,89,2,408.84
1647,Tc,43,1,408.87
1648,U,92,2,409.01
1649,Tc,43,1,409.57
1650,In,49,1,410.17
1651,Dy,66,2,410.33
1652,Ho,67,1,410.38
1653,Nd,60,2,410.95
1654,Tc,43,1,411.51
1655,U,92,2,411.61
1656,Th,90,2,411.67
1657,Ce,58,2,411.81
1658,Pr,59,2,411.85
1659,Sm,62,2,411.86
1660,La,57,2,412.32
1661,Tc,43,1,412.42
1662,Ce,58,2,412.74
1663,Eu,63,2,412.97
1664,Ba,56,2,413.06
1665,Pu,94,1,413.3
1666,Pu,94,1,414.0
1667,Pr,59,2,414.12
1668,Ce,58,2,414.24
1669,Pr,59,2,414.31
1670,Tb,65,2,414.44
1671,Tc,43,1,414.5
1672,Ce,58,2,414.5
1673,Ce,58,2,414.98
1674,Pu,94,1,415.11
1675,Ce,58,2,415.2
1676,La,57,2,415.2
1677,Nd,60,2,415.61
1678,Tc,43,1,416.56
1679,Ce,58,2,416.56
1680,Ba,56,2,416.6
1681,Ac,89,2,416.84
1682,Po,84,1,417.05
1683,U,92,2,417.16
1684,Ga,31,1,417.2
1685,Y,39,2,417.75
1686,Pr,59,2,417.94
1687,Ac,89,1,418.0
1688,Xe,54,2,418.01
1689,Ac,89,1,418.31
1690,Pm,61,2,419.29
1691,Ac,89,1,419.44
1692,La,57,2,419.66
1693,Rb,37,1,420.18
1694,Ce,58,2,420.29
1695,Eu,63,2,420.5
1696,Pu,94,1,420.65
1697,Pu,94,1,420.82
1698,Th,90,2,420.89
1699,Rb,37,1,421.55
1700,Sr,38,2,421.55
1701,Ce,58,2,422.26
1702,Pr,59,2,422.29
1703,Pr,59,2,422.54
1704,Fr,87,1,422.57
1705,Ca,20,1,422.67
1706,Nd,60,2,423.24
1707,Tc,43,1,423.82
1708,Sc,21,2,424.68
1709,Ce,58,2,424.87
1710,Cr,24,1,425.44
1711,Sm,62,2,425.64
1712,Pu,94,1,426.19
1713,Gd,64,1,426.21
1714,Tc,43,1,426.23
1715,Sm,62,2,426.27
1716,C,6,2,426.7
1717,C,6,2,426.73
1718,La,57,2,426.95
1719,Fe,26,1,427.18
1720,Cr,24,1,427.48
1721,Sm,62,2,428.08
1722,Ca,20,1,428.3
1723,La,57,2,428.7
1724,Ca,20,1,428.94
1725,Cr,24,1,428.97
1726,W,74,1,429.46
1727,Tc,43,1,429.71
1728,Pr,59,1,429.78
1729,Pm,61,2,429.78
1730,Ca,20,1,429.9
1731,Ca,20,1,430.25
1732,Nd,60,2,430.36
1733,Sr,38,2,430.54
1734,Ca,20,1,430.77
1735,Rn,86,1,430.78
1736,Y,39,2,430.96
1737,Ca,20,1,431.86
1738,Sm,62,2,431.89
1739,Sc,21,2,432.07
1740,Sc,21,2,432.5
1741,Fr,87,1,432.54
1742,Nd,60,2,432.58
1743,Sm,62,2,432.9
1744,Xe,54,2,433.05
1745,Pm,61,2,433.65
1746,Ra,88,2,434.06
1747,Pm,61,2,434.21
1748,W,74,2,434.81
1749,Rn,86,1,434.96
1750,La,57,2,435.44
1751,Eu,63,2,435.51
1752,Kr,36,2,435.55
1753,Hg,80,1,435.83
1754,U,92,1,436.2
1755,U,92,1,437.26
1756,Sc,21,2,437.45
1757,Rh,45,1,437.48
1758,Y,39,2,437.49
1759,V,23,1,437.92
1760,Ce,58,2,438.22
1761,Fe,26,1,438.35
1762,Ac,89,1,438.45
1763,Ac,89,2,438.64
1764,Ce,58,1,438.67
1765,Sm,62,2,439.09
1766,Ac,89,1,439.67
1767,Y,39,2,439.8
1768,Fe,26,1,440.48
1769,Pu,94,1,440.49
1770,Fe,26,1,441.51
1771,Sc,21,2,441.55
1772,Pm,61,2,441.8
1773,Ce,58,2,441.88
1774,Sm,62,2,442.11
1775,Sm,62,2,442.43
1776,Ca,20,1,442.54
1777,La,57,2,442.99
1778,Pm,61,2,443.25
1779,Ca,20,1,443.5
1780,Eu,63,2,443.56
1781,Ca,20,1,443.57
1782,Kr,36,2,443.68
1783,Pm,61,2,444.54
1784,Pm,61,2,444.69
1785,Ce,58,2,444.93
1786,Pr,59,2,444.98
1787,Sm,62,2,445.27
1788,Pm,61,2,445.4
1789,Sm,62,2,445.46
1790,Ca,20,1,445.48
1791,Ca,20,1,445.59
1792,Ca,20,1,445.66
1793,Xe,54,2,446.22
1794,Ac,89,1,446.27
1795,Ce,58,2,447.12
1796,He,2,1,447.15
1797,U,92,2,447.23
1798,Pm,61,2,447.32
1799,Kr,36,2,447.5
1800,Ce,58,2,448.69
1801,Po,84,1,449.32
1802,Pr,59,2,449.65
1803,Pm,61,2,450.02
1804,Ac,89,2,450.72
1805,In,49,1,451.13
1806,Tc,43,1,452.28
1807,Pm,61,2,452.52
1808,Pm,61,2,452.92
1809,Pu,94,2,453.62
1810,Sm,62,2,453.8
1811,U,92,2,454.36
1812,Ti,22,1,454.88
1813,Ti,22,2,454.96
1814,Ba,56,2,455.4
1815,Cs,55,1,455.53
1816,Ce,58,2,456.24
1817,Ti,22,2,456.38
1818,Ce,58,2,457.23
1819,Be,4,1,457.27
1820,Kr,36,2,457.72
1821,Cs,55,1,459.32
1822,Eu,63,1,459.4
1823,Cs,55,2,460.38
1824,Ac,89,2,460.54
1825,Sr,38,1,460.73
1826,Kr,36,2,461.92
1827,Nd,60,1,462.19
1828,U,92,2,462.71
1829,Kr,36,2,463.39
1830,Nd,60,1,463.42
1831,Kr,36,2,465.89
1832,Eu,63,1,466.19
1833,Pm,61,1,466.52
1834,Sm,62,2,467.46
1835,Sm,62,2,467.69
1836,Cd,48,1,467.81
1837,Zn,30,1,468.01
1838,Ra,88,2,468.22
1839,Nd,60,1,468.34
1840,Sm,62,2,470.44
1841,Ac,89,1,471.66
1842,Nd,60,1,471.9
1843,Ac,89,2,472.02
1844,Zn,30,1,472.22
1845,Sr,38,1,472.23
1846,Yb,70,2,472.61
1847,Pm,61,1,472.84
1848,U,92,2,473.16
1849,Pm,61,1,473.43
1850,Kr,36,2,473.9
1851,La,57,2,474.03
1852,Tc,43,1,474.06
1853,Mn,25,1,475.4
1854,Pm,61,1,475.9
1855,Mn,25,1,476.24
1856,Pm,61,1,476.26
1857,Kr,36,2,476.57
1858,C,6,1,477.17
