,ElemSymbol,AtNum,Charge,Wavelength
2249,Cu,29,1,515.29
2250,Cu,29,1,521.83
2251,Cu,29,1,578.18
2252,Zn,30,1,330.25
2253,Zn,30,1,481.06
2254,Ga,31,1,287.44
2255,Ga,31,1,294.37
2256,Ga,31,1,294.38
2257,Ga,31,1,403.32
2258,Ge,32,1,265.14
2259,Ge,32,1,270.98
2260,Ge,32,1,303.92
2261,Ge,32,1,422.68
2262,Ge,32,1,468.6
2263,Br,35,1,827.2
2264,Sr,38,2,407.78
2265,Y,39,1,398.8
2266,Y,39,1,467.49
2267,Zr,40,1,362.39
2268,Zr,40,1,397.76
2269,Zr,40,1,410.76
2270,Zr,40,1,419.91
2271,Zr,40,1,436.65
2272,Zr,40,1,450.72
2273,Zr,40,1,468.79
2274,Zr,40,1,471.01
2275,Zr,40,1,473.25
2276,Zr,40,1,477.25
2277,Zr,40,1,480.59
2278,Zr,40,1,482.82
2279,Zr,40,1,507.03
2280,Mo,42,1,384.4
2281,Mo,42,1,550.6
2282,Ru,44,1,290.89
2283,Ag,47,1,328.08
2284,Ag,47,1,338.31
2285,Ag,47,1,520.93
2286,Ag,47,1,546.57
2287,Cd,48,1,326.1
2288,Cd,48,1,508.56
2289,Sn,50,1,284.02
2290,Sn,50,1,286.35
2291,Sn,50,1,303.43
2292,Sn,50,1,317.52
2293,Sn,50,1,326.25
2294,Sn,50,1,380.12
2295,Sb,51,1,323.25
2296,Te,52,1,238.34
2297,Te,52,1,238.59
2298,Te,52,1,253.08
2299,I,53,1,393.36
2300,I,53,1,746.9
2301,Ba,56,1,389.19
2302,Ba,56,2,413.07
2303,Ba,56,2,455.39
2304,Ba,56,2,490.0
2305,La,57,1,394.91
2306,Ce,58,2,394.28
2307,Ce,58,1,560.13
2308,Ce,58,1,569.7
2309,Pr,59,2,391.89
2310,Pr,59,2,410.07
2311,Pr,59,1,495.14
2312,Sm,62,2,392.24
2313,Sm,62,1,476.03
2314,Sm,62,1,491.04
2315,Sm,62,1,551.61
2316,Eu,63,1,462.72
2317,Gd,64,2,409.86
2318,Gd,64,1,419.08
2319,Tm,69,1,388.31
2320,Yb,70,1,398.8
2321,Hf,72,1,368.24
2322,Hf,72,1,417.46
2323,Ta,73,1,468.21
2324,W,74,2,259.87
2325,Re,75,1,451.33
2326,Re,75,1,488.91
2327,Re,75,1,527.56
2328,Pt,78,1,274.76
2329,Pt,78,1,396.63
2330,Au,79,1,267.59
2331,Au,79,1,312.29
2332,Tl,81,1,535.05
2333,Pb,82,1,368.37
2334,Pb,82,1,405.81
2335,Th,90,2,438.19
2336,Th,90,2,439.11
