Identifier,Element,State,Wavelength,Aki,Ei,Ek,gi,gk
Ca II 396.88,Ca,II,396.88,140000000.0,0.0,3.123,2.0,2.0
Ca I 422.67,Ca,I,422.67,218000000.0,0.0,2.933,1.0,3.0
Sc II 361.38,Sc,II,361.38,187920000.0,0.022,3.452,7.0,9.0
Ti II 321.70,Ti,II,321.7,4030000.0,1.116,4.969,8.0,8.0
Ti II 323.50,Ti,II,323.5,171000000.0,0.049,3.881,10.0,10.0
Ti II 334.90,Ti,II,334.9,161000000.0,0.6072,4.3083,8.0,10.0
Ti II 334.94,Ti,II,334.94,168000000.0,0.0488,3.7494,10.0,12.0
Ti I 498.17,Ti,I,498.17,66000000.0,0.8484,3.3365,11.0,13.0
V I 411.18,V,I,411.18,101000000.0,0.301,3.315,10.0,10.0
V I 437.92,V,I,437.92,110000000.0,0.301,3.131,10.0,12.0
Cr I 267.70,Cr,I,267.7,12000000.0,0.983,5.611,5.0,7.0
Cr I 302.44,Cr,I,302.44,127000000.0,0.983,5.081,5.0,5.0
Cr I 425.44,Cr,I,425.44,31500000.0,0.0,2.913,7.0,9.0
Cr I 427.48,Cr,I,427.48,30700000.0,0.0,2.9,7.0,7.0
Cr I 428.98,Cr,I,428.98,31600000.0,0.0,2.889,7.0,5.0
Cr I 520.45,Cr,I,520.45,50900000.0,0.941,3.323,5.0,3.0
Cr I 520.60,Cr,I,520.6,51400000.0,0.941,3.322,5.0,5.0
Cr I 520.84,Cr,I,520.84,50600000.0,0.941,3.321,5.0,7.0
Cr I 540.98,Cr,I,540.98,6200000.0,1.03,3.321,9.0,7.0
Mn II 294.90,Mn,II,294.9,196000000.0,1.175,5.377,5.0,7.0
Mn I 403.06,Mn,I,403.06,17000000.0,0.0,3.075,6.0,8.0
Mn I 403.31,Mn,I,403.31,16500000.0,0.0,3.073,6.0,6.0
Mn I 403.45,Mn,I,403.45,15800000.0,0.0,3.072,6.0,4.0
Fe I 253.72,Fe,I,253.72,370000000.0,2.404,7.289,13.0,15.0
Fe I 284.98,Fe,I,284.98,112000000.0,1.485,4.733,9.0,7.0
Fe I 302.06,Fe,I,302.06,75900000.0,0.0,4.103,9.0,9.0
Fe I 344.39,Fe,I,344.39,7920000.0,0.087,3.686,5.0,3.0
Fe I 347.56,Fe,I,347.56,8610000.0,2.176,5.742,7.0,5.0
Fe I 371.99,Fe,I,371.99,16200000.0,0.0,3.332,9.0,11.0
Fe I 404.58,Fe,I,404.58,86200000.0,1.485,4.549,9.0,9.0
